ER-Concentration,Time/sec,Melting point,Boiling point,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumValenceElectrons, Current/A
5,115,-87.9,82.45,60.058,1,-0.04,4,52.032,3.245,3.96,1.298,1128.96,26.263,8.056,0.394,8.056,0.048,0.167,0.048,-0.167,-0.394,0.387,17.355,60.096,1,1,1,1,1,0,0,26,3.60E-09
5,145,-87.9,82.45,60.058,1,-0.04,4,52.032,3.245,3.96,1.298,1128.96,26.263,8.056,0.394,8.056,0.048,0.167,0.048,-0.167,-0.394,0.387,17.355,60.096,1,1,1,1,1,0,0,26,-3.80E-09
5,150,-87.9,82.45,60.058,1,-0.04,4,52.032,3.245,3.96,1.298,1128.96,26.263,8.056,0.394,8.056,0.048,0.167,0.048,-0.167,-0.394,0.387,17.355,60.096,1,1,1,1,1,0,0,26,4.20E-09
5,155,-87.9,82.45,60.058,1,-0.04,4,52.032,3.245,3.96,1.298,1128.96,26.263,8.056,0.394,8.056,0.048,0.167,0.048,-0.167,-0.394,0.387,17.355,60.096,1,1,1,1,1,0,0,26,-6.60E-09
5,185,-87.9,82.45,60.058,1,-0.04,4,52.032,3.245,3.96,1.298,1128.96,26.263,8.056,0.394,8.056,0.048,0.167,0.048,-0.167,-0.394,0.387,17.355,60.096,1,1,1,1,1,0,0,26,-1.60E-09
5,190,-87.9,82.45,60.058,1,-0.04,4,52.032,3.245,3.96,1.298,1128.96,26.263,8.056,0.394,8.056,0.048,0.167,0.048,-0.167,-0.394,0.387,17.355,60.096,1,1,1,1,1,0,0,26,-3.10E-09
5,195,-87.9,82.45,60.058,1,-0.04,4,52.032,3.245,3.96,1.298,1128.96,26.263,8.056,0.394,8.056,0.048,0.167,0.048,-0.167,-0.394,0.387,17.355,60.096,1,1,1,1,1,0,0,26,-3.90E-09
0.005,25,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-8.89E-08
0.005,30,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-1.06E-07
0.005,35,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-1.13E-07
0.005,65,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-5.67E-08
0.005,70,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-8.86E-08
0.005,75,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-1.08E-07
0.005,105,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-5.50E-08
0.005,110,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-8.35E-08
0.005,115,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-1.01E-07
0.005,145,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-5.35E-08
0.005,150,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-8.04E-08
0.005,155,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-9.70E-08
0.005,185,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-5.17E-08
0.005,190,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-7.75E-08
0.005,195,-95,69,86.11,1,0,6,72.066,20.986,6,5,4,40.564,2.232,0.065,2.232,-0.054,1.355,0.054,1.355,-0.065,2.587,29.816,86.178,0,0,0,0,0,0,3,38,-9.47E-08
